,Arolla / Hydrologie (Bertol_Inferieur_-_Debit),C: Arolla / Hydrologie (Bertol_Inferieur_-_Debit) (1. Année précédente),C: Arolla / Hydrologie (Bertol_Inferieur_-_Debit) (2. Année précédente),C: Arolla / Hydrologie (Bertol_Inferieur_-_Debit) (3. Année précédente),C: Arolla / Hydrologie (Bertol_Inferieur_-_Debit) (4. Année précédente)
5/1/2019 0:15,0.004,0.264386,0.064,0.076872,0.148712
5/1/2019 0:30,0.004,0.255,0.064,0.076898,0.149891
5/1/2019 0:45,0.004,0.255,0.064,0.07573,0.149521
5/1/2019 1:00,0.004,0.25485,0.064,0.078116,0.149779
5/1/2019 1:15,0.004,0.251,0.064,0.076329,0.149947
5/1/2019 1:30,0.004,0.248115,0.064,0.076188,0.150666
5/1/2019 1:45,0.004,0.239545,0.064,0.077119,0.147138
5/1/2019 2:00,0.004,0.240045,0.06568,0.076998,0.149888
5/1/2019 2:15,0.004,0.244,0.068,0.077237,0.150404
5/1/2019 2:30,0.004,0.225627,0.068,0.07806,0.149844
5/1/2019 2:45,0.004,0.237944,0.068,0.076931,0.151185
5/1/2019 3:00,0.004,0.233,0.064769,0.076018,0.151234
5/1/2019 3:15,0.004,0.233,0.064,0.077219,0.14969
5/1/2019 3:30,0.004,0.233,0.064,0.077209,0.150967
5/1/2019 3:45,0.004,0.222809,0.064,0.076134,0.149366
5/1/2019 4:00,0.004,0.226489,0.064,0.077466,0.151861
5/1/2019 4:15,0.004,0.229,0.064,0.07747,0.150141
5/1/2019 4:30,0.004,0.225,0.064,0.075598,0.148578
5/1/2019 4:45,0.004,0.222045,0.064,0.076951,0.14981
5/1/2019 5:00,0.004368,0.214,0.065639,0.077506,0.148865
5/1/2019 5:15,0.007,0.214,0.068,0.077335,0.148515
5/1/2019 5:30,0.007,0.214,0.068,0.077876,0.150893
5/1/2019 5:45,0.004303,0.214,0.065114,0.07653,0.152051
5/1/2019 6:00,0.004,0.214,0.064,0.076072,0.149845
5/1/2019 6:15,0.004,0.214,0.064,0.07642,0.152219
