,Zmutt / Hydrologie (Edelweiss_Débit Galerie - m3/s),C: Zmutt / Hydrologie (Edelweiss_Débit Galerie - m3/s) (1. Année précédente),C: Zmutt / Hydrologie (Edelweiss_Débit Galerie - m3/s) (2. Année précédente),C: Zmutt / Hydrologie (Edelweiss_Débit Galerie - m3/s) (3. Année précédente),C: Zmutt / Hydrologie (Edelweiss_Débit Galerie - m3/s) (4. Année précédente)
5/1/2019 0:15,0.378033,0.7302,0.3662,0.3,0.455136
5/1/2019 0:30,0.378033,0.731,0.36475,0.3,0.454064
5/1/2019 0:45,0.375,0.7294,0.362467,0.299167,0.4508
5/1/2019 1:00,0.373567,0.7258,0.362467,0.3,0.45
5/1/2019 1:15,0.372,0.724333,0.3612,0.3,0.447536
5/1/2019 1:30,0.3699,0.721497,0.359169,0.299664,0.4452
5/1/2019 1:45,0.3694,0.718667,0.356625,0.2996,0.4444
5/1/2019 2:00,0.369,0.716467,0.3548,0.2984,0.4412
5/1/2019 2:15,0.3664,0.713967,0.35,0.297967,0.439298
5/1/2019 2:30,0.364333,0.7116,0.347133,0.296,0.437
5/1/2019 2:45,0.3633,0.706148,0.344831,0.2948,0.437533
5/1/2019 3:00,0.370767,0.702933,0.345233,0.294,0.435767
5/1/2019 3:15,0.3676,0.698167,0.344,0.294,0.434733
5/1/2019 3:30,0.364061,0.695297,0.3444,0.293028,0.433
5/1/2019 3:45,0.3603,0.693533,0.3448,0.2912,0.4318
5/1/2019 4:00,0.359,0.691783,0.3452,0.293067,0.431
5/1/2019 4:15,0.356,0.691615,0.3448,0.294,0.429767
5/1/2019 4:30,0.3544,0.687518,0.3432,0.293067,0.429031
5/1/2019 4:45,0.3518,0.685067,0.3436,0.290228,0.429864
5/1/2019 5:00,0.349336,0.681464,0.3412,0.287467,0.429367
5/1/2019 5:15,0.347833,0.677869,0.340369,0.291667,0.4302
5/1/2019 5:30,0.346167,0.675,0.34,0.2898,0.429369
5/1/2019 5:45,0.344136,0.673044,0.339208,0.287933,0.429767
