,Arolla / Hydrologie (Ferpècle - Débit dégraveur),C: Arolla / Hydrologie (Ferpècle - Débit dégraveur) (1. Année précédente),C: Arolla / Hydrologie (Ferpècle - Débit dégraveur) (2. Année précédente),C: Arolla / Hydrologie (Ferpècle - Débit dégraveur) (3. Année précédente),C: Arolla / Hydrologie (Ferpècle - Débit dégraveur) (4. Année précédente)
Horodatage,m³/s,m³/s,m³/s,m³/s,m³/s
5/1/2019 0:15,0.358854,1.744044,0.359028,0.333,0.458561
5/1/2019 0:30,0.358854,1.673533,0.3528,0.333,0.4498
5/1/2019 0:45,0.358854,1.626633,0.351533,0.33412,0.446
5/1/2019 1:00,0.358854,1.577535,0.355237,0.331454,0.446
5/1/2019 1:15,0.358854,1.554222,0.355333,0.333111,0.444667
5/1/2019 1:30,0.358854,1.526444,0.351533,0.331667,0.444706
5/1/2019 1:45,0.358854,1.5115,0.354621,0.339778,0.448428
5/1/2019 2:00,0.358854,1.481778,0.352897,0.349,0.439111
5/1/2019 2:15,0.358854,1.461722,0.355131,0.349,0.444667
5/1/2019 2:30,0.358854,1.435546,0.350267,0.342231,0.438111
5/1/2019 2:45,0.358854,1.411093,0.354172,0.349,0.446
5/1/2019 3:00,0.358854,1.397956,0.354067,0.349,0.442213
5/1/2019 3:15,0.358854,1.377487,0.354348,0.349,0.443546
5/1/2019 3:30,0.358854,1.360556,0.351533,0.349,0.440556
5/1/2019 3:45,0.358854,1.347133,0.351331,0.350064,0.441889
5/1/2019 4:00,0.358854,1.343333,0.356398,0.351533,0.443333
5/1/2019 4:15,0.358854,1.325444,0.349,0.354067,0.443231
5/1/2019 4:30,0.358854,1.314956,0.351533,0.353864,0.431333
5/1/2019 4:45,0.358854,1.300533,0.351533,0.349,0.438111
5/1/2019 5:00,0.358854,1.292828,0.349,0.349,0.436667
5/1/2019 5:15,0.358854,1.284489,0.349,0.350267,0.442
5/1/2019 5:30,0.358854,1.276185,0.349,0.349,0.436556
5/1/2019 5:45,0.358854,1.261667,0.349,0.349,0.439333
5/1/2019 6:00,0.358854,1.253194,0.349,0.349,0.441889
5/1/2019 6:15,0.358854,1.241267,0.349,0.349,0.444556
5/1/2019 6:30,0.358854,1.236728,0.349,0.349,0.443222
5/1/2019 6:45,0.358854,1.221,0.349,0.349,0.442111
5/1/2019 7:00,0.358854,1.215815,0.349,0.349,0.436454
5/1/2019 7:15,0.358854,1.201,0.349,0.349,0.440778
5/1/2019 7:30,0.358854,1.201,0.349,0.351331,0.440667
5/1/2019 7:45,0.358854,1.1972,0.349,0.354067,0.444667
5/1/2019 8:00,0.358854,1.183689,0.349,0.3528,0.429787
5/1/2019 8:15,0.358854,1.182,0.349,0.35397,0.443444
5/1/2019 8:30,0.358854,1.172183,0.342333,0.354067,0.444667
5/1/2019 8:45,0.358854,1.164267,0.345,0.355237,0.439546
5/1/2019 9:00,0.358854,1.157667,0.335769,0.351533,0.440778
