,Stafel / Hydrologie (Stafel - Débit dessableur),C: Stafel / Hydrologie (Stafel - Débit dessableur) (1. Année précédente),C: Stafel / Hydrologie (Stafel - Débit dessableur) (2. Année précédente),C: Stafel / Hydrologie (Stafel - Débit dessableur) (3. Année précédente),C: Stafel / Hydrologie (Stafel - Débit dessableur) (4. Année précédente)
5/1/2019 0:15,0,0.25713,0.07375,0,0.285833
5/1/2019 0:30,0,0.249792,0.071588,0,0.284132
5/1/2019 0:45,0,0.26,0.069933,0,0.283368
5/1/2019 1:00,0,0.260903,0.070417,0,0.28285
5/1/2019 1:15,0,0.259445,0.06875,0,0.28125
5/1/2019 1:30,0,0.253993,0.06875,0,0.280833
5/1/2019 1:45,0,0.25,0.06875,0,0.278715
5/1/2019 2:00,0,0.249167,0.06875,0,0.277083
5/1/2019 2:15,0,0.24559,0.06875,0,0.275
5/1/2019 2:30,0,0.244583,0.067847,0,0.275865
5/1/2019 2:45,0,0.24375,0.0675,0,0.275417
5/1/2019 3:00,0,0.24375,0.068298,0,0.275
5/1/2019 3:15,0,0.24215,0.064167,0,0.275
5/1/2019 3:30,0,0.238851,0.064201,0,0.275
5/1/2019 3:45,0,0.2525,0.0625,0,0.275
5/1/2019 4:00,0,0.257083,0.063368,0,0.275
5/1/2019 4:15,0,0.253889,0.063568,0,0.274548
5/1/2019 4:30,0,0.246806,0.063715,0,0.272952
5/1/2019 4:45,0,0.24375,0.0625,0,0.273301
5/1/2019 5:00,0,0.254688,0.06375,0,0.2725
5/1/2019 5:15,0,0.250694,0.063785,0,0.273301
5/1/2019 5:30,0,0.231296,0.0641,0,0.272535
5/1/2019 5:45,0,0.23125,0.064583,0,0.275
5/1/2019 6:00,0,0.23059,0.0625,0,0.275
5/1/2019 6:15,0,0.228843,0.064583,0,0.275
5/1/2019 6:30,0,0.225,0.06375,0,0.275
5/1/2019 6:45,0,0.225833,0.0625,0,0.276667
5/1/2019 7:00,0,0.224722,0.062917,0,0.277983
5/1/2019 7:15,0,0.21875,0.062917,0,0.2766
5/1/2019 7:30,0,0.21875,0.0625,0,0.275833
5/1/2019 7:45,0,0.21875,0.062995,0,0.275417
5/1/2019 8:00,0,0.22257,0.062917,0,0.277952
5/1/2019 8:15,0,0.466587,0.0625,0,0.280417
5/1/2019 8:30,0,0.240938,0.0625,0,0.280833
5/1/2019 8:45,0,0.122153,0.0625,0,0.28125
5/1/2019 9:00,0,0.026736,0.0625,0,0.284202
5/1/2019 9:15,0,0.254259,0.0625,0,0.282116
5/1/2019 9:30,0,0.270417,0.063333,0,0.276632
5/1/2019 9:45,0,0.25934,0.062917,0,0.271215
5/1/2019 10:00,0,0.24375,0.0625,0,0.266667
5/1/2019 10:15,0,0.23375,0.0625,0,0.267468
5/1/2019 10:30,0,0.23625,0.062917,0,0.260347
5/1/2019 10:45,0,0.230833,0.06375,0,0.259549
5/1/2019 11:00,0,0.233576,0.0625,0,0.25625
5/1/2019 11:15,0,0.239097,0.0625,0,0.25625
