,Arolla / Météo (Arolla - Pluviométrie - mm),C: Arolla / Météo (Arolla - Pluviométrie - mm) (1. Année précédente),C: Arolla / Météo (Arolla - Pluviométrie - mm) (2. Année précédente),C: Arolla / Météo (Arolla - Pluviométrie - mm) (3. Année précédente),C: Arolla / Météo (Arolla - Pluviométrie - mm) (4. Année précédente)
5/1/2019 0:15,27.75,16.031,21.125,21.844,32.937
5/1/2019 0:30,27.75,16.031,21.125,22.594,32.937
5/1/2019 0:45,27.75,16.031,21.125,23.281,32.937
5/1/2019 1:00,27.75,16.031,21.125,23.281,32.937
5/1/2019 1:15,27.75,16.031,21.125,23.906,32.937
5/1/2019 1:30,27.75,16.031,21.125,24.5,32.937
5/1/2019 1:45,27.75,16.031,21.125,24.906,32.937
5/1/2019 2:00,27.75,16.031,21.125,24.906,32.937
5/1/2019 2:15,27.75,16.031,21.125,25.406,32.937
5/1/2019 2:30,27.75,16.031,21.125,25.812,32.937
5/1/2019 2:45,27.75,16.031,21.125,26.344,32.937
5/1/2019 3:00,27.75,16.031,21.125,26.344,32.937
5/1/2019 3:15,27.75,16.031,21.125,26.812,32.937
5/1/2019 3:30,27.75,16.031,21.125,27.25,32.937
5/1/2019 3:45,27.75,16.031,21.125,27.25,32.937
5/1/2019 4:00,27.75,16.031,21.125,27.625,32.937
5/1/2019 4:15,27.75,16.031,21.125,28.062,32.937
5/1/2019 4:30,27.75,16.437,21.125,28.062,33.030998
5/1/2019 4:45,27.75,16.437,21.125,28.062,33.030998
5/1/2019 5:00,27.75,16.437,21.125,28.344,33.030998
5/1/2019 5:15,27.75,16.75,21.125,28.781,33.030998
5/1/2019 5:30,27.75,16.75,21.125,28.781,33.030998
5/1/2019 5:45,27.75,17.156,21.125,29.187,33.030998
5/1/2019 6:00,27.75,17.156,21.125,29.187,33.030998
5/1/2019 6:15,27.75,17.656,21.125,29.594,33.25
5/1/2019 6:30,27.75,18.187,21.125,29.594,33.25
5/1/2019 6:45,27.75,18.187,21.125,29.969,33.530998
5/1/2019 7:00,27.75,18.594,21.125,29.969,33.530998
5/1/2019 7:15,27.75,18.594,21.125,30.281,33.530998
5/1/2019 7:30,27.75,18.875,21.125,30.281,33.530998
5/1/2019 7:45,27.75,18.875,21.625,30.281,33.530998
5/1/2019 8:00,27.75,18.875,22.25,30.5,33.530998
5/1/2019 8:15,27.75,18.875,22.875,30.781,33.530998
5/1/2019 8:30,27.75,18.875,23.375,30.781,33.530998
5/1/2019 8:45,27.75,18.875,23.906,30.781,33.530998
5/1/2019 9:00,27.75,18.875,23.906,30.781,33.844002
5/1/2019 9:15,27.75,18.875,24.5,31,34.125
5/1/2019 9:30,27.75,19,25.125,31,34.125
5/1/2019 9:45,27.75,19,25.812,31,34.125
5/1/2019 10:00,27.75,19,26.531,31,34.125
5/1/2019 10:15,27.75,19,28.062,31,34.125
5/1/2019 10:30,27.75,19,28.781,31.187,34.437
5/1/2019 10:45,27.75,19,29.469,31.187,34.437
5/1/2019 11:00,27.75,19,30.187,31.187,34.437
5/1/2019 11:15,27.75,19,30.906,31.187,34.75
5/1/2019 11:30,27.75,19,31.406,31.187,35.25
5/1/2019 11:45,27.75,19,31.812,31.187,35.25
5/1/2019 12:00,27.75,19.094,31.812,31.187,35.780998
5/1/2019 12:15,27.75,19.094,31.812,31.187,36.187
5/1/2019 12:30,27.75,19.094,31.812,31.187,36.187
5/1/2019 12:45,27.75,19.094,31.812,31.187,36.594002
5/1/2019 13:00,27.75,19.094,32,31.187,37.219002
5/1/2019 13:15,27.75,19.094,32,31.187,37.687
5/1/2019 13:30,27.75,19.687,32,31.719,38.312
5/1/2019 13:45,27.75,19.687,32,31.719,38.812
5/1/2019 14:00,27.75,19.687,32,31.906,38.812
5/1/2019 14:15,27.75,19.687,32,31.906,39.437
5/1/2019 14:30,27.75,19.687,32,31.906,40.062
5/1/2019 14:45,27.75,19.687,32,31.906,40.562
5/1/2019 15:00,27.75,19.687,32,31.906,41.062
5/1/2019 15:15,27.75,19.687,32,31.906,41.062
5/1/2019 15:30,27.75,19.687,32,31.906,41.062
5/1/2019 15:45,27.75,19.687,32.030998,31.906,41.344002
5/1/2019 16:00,27.75,19.687,32.030998,32.125,41.344002
5/1/2019 16:15,27.75,19.687,32.030998,32.125,41.344002
