,Arolla / Météo (Bricola - Pluviomètre - mm),C: Arolla / Météo (Bricola - Pluviomètre - mm) (1. Année précédente),C: Arolla / Météo (Bricola - Pluviomètre - mm) (2. Année précédente),C: Arolla / Météo (Bricola - Pluviomètre - mm) (3. Année précédente),C: Arolla / Météo (Bricola - Pluviomètre - mm) (4. Année précédente)
Horodatage,mm,mm,mm,mm,mm
5/1/2019 0:15,0.35,22.825001,12.05,0.775,37.174999
5/1/2019 0:30,0.375,22.825001,12.05,1.075,37.174999
5/1/2019 0:45,0.35,22.825001,12.05,1.475,37.174999
5/1/2019 1:00,0.375,22.825001,12.05,2.1,37.174999
5/1/2019 1:15,0.35,22.825001,12.05,2.4,37.174999
5/1/2019 1:30,0.375,22.825001,12.05,2.9,37.174999
5/1/2019 1:45,0.35,22.825001,12.05,3.3,37.174999
5/1/2019 2:00,0.375,22.825001,12.05,3.825,37.174999
5/1/2019 2:15,0.35,22.825001,12.05,4.125,37.174999
5/1/2019 2:30,0.375,22.825001,12.05,4.625,37.174999
5/1/2019 2:45,0.35,22.825001,12.45,5.025,37.275002
5/1/2019 3:00,0.375,22.825001,12.65,5.65,37.275002
5/1/2019 3:15,0.375,22.825001,12.75,6.25,37.275002
5/1/2019 3:30,0.375,22.825001,12.75,6.575,37.275002
5/1/2019 3:45,0.375,22.825001,13.075,6.975,37.275002
5/1/2019 4:00,0.375,22.825001,13.175,7.275,37.275002
5/1/2019 4:15,0.375,22.825001,13.375,7.575,37.474998
5/1/2019 4:30,0.35,22.825001,13.475,7.775,37.575001
5/1/2019 4:45,0.375,22.825001,13.675,7.975,37.575001
5/1/2019 5:00,0.375,22.825001,13.675,8.2,37.775002
5/1/2019 5:15,0.375,22.825001,13.675,8.2,37.875
5/1/2019 5:30,0.375,22.825001,13.775,8.4,37.974998
5/1/2019 5:45,0.35,22.825001,13.775,8.6,38.299999
5/1/2019 6:00,0.375,22.825001,13.775,8.9,38.400002
5/1/2019 6:15,0.375,22.825001,13.775,9.1,38.5
5/1/2019 6:30,0.375,22.825001,13.775,9.4,38.700001
5/1/2019 6:45,0.375,22.825001,13.775,9.6,38.900002
5/1/2019 7:00,0.375,22.825001,13.775,9.825,39
5/1/2019 7:15,0.375,22.825001,13.775,10.025,39
5/1/2019 7:30,0.375,22.825001,13.775,10.125,39
5/1/2019 7:45,0.35,22.825001,13.775,10.325,39
5/1/2019 8:00,0.375,22.825001,13.775,10.425,39
