,Zmutt / Météo (Findelen_Pluviométrie - mm),C: Zmutt / Météo (Findelen_Pluviométrie - mm) (1. Année précédente),C: Zmutt / Météo (Findelen_Pluviométrie - mm) (2. Année précédente),C: Zmutt / Météo (Findelen_Pluviométrie - mm) (3. Année précédente),C: Zmutt / Météo (Findelen_Pluviométrie - mm) (4. Année précédente)
5/1/2019 0:15,38.674999,3.8,36.049999,19.35,1.65
5/1/2019 0:30,38.674999,3.8,36.049999,19.549999,1.65
5/1/2019 0:45,38.674999,3.8,36.049999,19.599999,1.65
5/1/2019 1:00,38.674999,4,36.049999,19.649999,1.65
5/1/2019 1:15,38.674999,4,36.049999,19.7,1.65
5/1/2019 1:30,38.674999,4.125,36.049999,19.75,1.65
5/1/2019 1:45,38.674999,4.125,36.049999,19.8,1.65
5/1/2019 2:00,38.674999,4.3,36.049999,19.85,1.65
5/1/2019 2:15,38.674999,4.3,36.049999,20.275,1.65
5/1/2019 2:30,38.674999,4.6,36.049999,20.575001,1.65
5/1/2019 2:45,38.674999,4.6,36.049999,20.975,1.65
5/1/2019 3:00,38.674999,4.7,36.049999,21.799999,1.65
5/1/2019 3:15,38.674999,4.925,36.049999,22.299999,1.65
5/1/2019 3:30,38.674999,4.925,36.049999,22.700001,1.65
5/1/2019 3:45,38.674999,4.925,36.049999,23.025,1.65
5/1/2019 4:00,38.674999,4.925,36.049999,23.424999,1.65
5/1/2019 4:15,38.674999,4.925,36.049999,23.700001,1.65
5/1/2019 4:30,38.674999,4.925,36.049999,24.025,1.65
5/1/2019 4:45,38.674999,4.925,36.049999,24.424999,1.65
5/1/2019 5:00,38.674999,5.025,36.049999,24.825001,1.65
5/1/2019 5:15,38.674999,5.025,36.049999,25.25,1.65
5/1/2019 5:30,38.674999,5.025,36.049999,25.65,1.65
5/1/2019 5:45,38.674999,5.025,36.049999,26.049999,1.65
5/1/2019 6:00,38.674999,5.025,36.049999,26.450001,1.65
5/1/2019 6:15,38.674999,5.025,36.049999,26.75,1.65
5/1/2019 6:30,38.674999,5.025,36.049999,27.049999,1.65
5/1/2019 6:45,38.674999,5.025,36.049999,27.049999,1.65
5/1/2019 7:00,38.700001,5.025,36.049999,27.775,1.65
5/1/2019 7:15,38.700001,5.025,36.25,28.174999,1.65
5/1/2019 7:30,38.700001,5.025,36.25,28.174999,1.65
5/1/2019 7:45,38.700001,5.025,37.275002,28.475,1.65
5/1/2019 8:00,38.700001,5.025,37.775002,28.799999,1.65
5/1/2019 8:15,38.700001,5.025,38.875,29.174999,1.65
5/1/2019 8:30,38.700001,5.025,39.400002,29.5,1.65
5/1/2019 8:45,38.700001,5.025,40.400002,29.775,1.65
5/1/2019 9:00,38.674999,5.025,40.924999,30.299999,1.65
5/1/2019 9:15,38.674999,5.025,42.025002,30.725,1.65
5/1/2019 9:30,38.674999,5.025,42.5,31.075001,1.65
5/1/2019 9:45,38.674999,5.025,42.924999,31.525,1.65
5/1/2019 10:00,38.674999,5.025,43.424999,31.924999,1.65
5/1/2019 10:15,38.674999,5.025,43.625,32.224998,1.65
5/1/2019 10:30,38.674999,5.025,43.825001,32.525002,1.65
5/1/2019 10:45,38.674999,5.025,43.825001,32.825001,1.65
5/1/2019 11:00,38.674999,5.025,43.825001,33.224998,1.65
5/1/2019 11:15,38.674999,5.025,43.825001,33.525002,1.65
5/1/2019 11:30,38.674999,5.025,43.825001,33.525002,1.65
5/1/2019 11:45,38.674999,5.025,43.825001,33.724998,1.65
5/1/2019 12:00,38.674999,5.025,43.825001,33.724998,1.65
5/1/2019 12:15,38.674999,5.025,43.825001,33.724998,1.65
5/1/2019 12:30,38.674999,5.025,43.825001,33.825001,1.65
5/1/2019 12:45,38.674999,5.025,44.125,33.825001,1.65
5/1/2019 13:00,38.674999,5.025,44.424999,33.825001,1.65
5/1/2019 13:15,38.674999,5.025,44.424999,33.825001,1.65
5/1/2019 13:30,38.674999,5.025,44.75,33.825001,1.65
5/1/2019 13:45,38.674999,5.025,44.924999,33.825001,1.65
5/1/2019 14:00,38.674999,5.025,44.924999,33.825001,1.65
5/1/2019 14:15,38.674999,5.025,44.924999,33.825001,1.65
5/1/2019 14:30,38.674999,5.025,44.924999,33.825001,1.65
5/1/2019 14:45,38.674999,5.025,44.924999,33.825001,1.65
5/1/2019 15:00,38.674999,5.025,44.924999,33.825001,1.65
5/1/2019 15:15,38.674999,5.025,44.924999,33.825001,1.65
5/1/2019 15:30,38.674999,5.025,44.924999,33.825001,1.65
