,Zmutt / Hydrologie (Gornera_-_Debit_prise),C: Zmutt / Hydrologie (Gornera_-_Debit_prise) (1. Année précédente),C: Zmutt / Hydrologie (Gornera_-_Debit_prise) (2. Année précédente),C: Zmutt / Hydrologie (Gornera_-_Debit_prise) (3. Année précédente),C: Zmutt / Hydrologie (Gornera_-_Debit_prise) (4. Année précédente)
5/1/2019 0:15,0.907615,1.955067,0.367394,0.937,1.469
5/1/2019 0:30,0.907615,1.95,0.343396,0.929394,1.441089
5/1/2019 0:45,0.907615,1.9439,0.338,0.912539,1.438793
5/1/2019 1:00,0.907615,1.940133,0.340655,0.907006,1.437
5/1/2019 1:15,0.907615,1.923689,0.338,0.904933,1.422361
5/1/2019 1:30,0.907615,1.913,0.332933,0.905122,1.410133
5/1/2019 1:45,0.907615,1.913,0.312033,0.902467,1.410133
5/1/2019 2:00,0.907615,1.906244,0.302533,0.9,1.406
5/1/2019 2:15,0.907615,1.8902,0.302533,0.9,1.391361
5/1/2019 2:30,0.907615,1.883075,0.305067,0.9,1.375
5/1/2019 2:45,0.907615,1.880067,0.30526,0.9,1.379291
5/1/2019 3:00,0.907615,1.875,0.305067,0.9,1.375
5/1/2019 3:15,0.907615,1.868456,0.305911,0.897533,1.375
5/1/2019 3:30,0.907615,1.858322,0.322606,0.9,1.352094
5/1/2019 3:45,0.907615,1.8446,0.327867,0.897533,1.346067
5/1/2019 4:00,0.907615,1.839533,0.338,0.897533,1.344
5/1/2019 4:15,0.907615,1.837,0.331825,0.9,1.344
5/1/2019 4:30,0.907615,1.837,0.335871,0.897533,1.344
5/1/2019 4:45,0.907615,1.818089,0.335467,0.887667,1.318059
5/1/2019 5:00,0.907615,1.815194,0.332933,0.867933,1.312
5/1/2019 5:15,0.907615,1.805961,0.338,0.870006,1.316267
5/1/2019 5:30,0.907615,1.8,0.332933,0.863,1.312
5/1/2019 5:45,0.907615,1.8,0.335467,0.865655,1.312
5/1/2019 6:00,0.907615,1.8,0.338,0.865467,1.303561
5/1/2019 6:15,0.907615,1.785644,0.335467,0.863,1.283225
5/1/2019 6:30,0.907615,1.778678,0.338,0.863,1.283067
5/1/2019 6:45,0.907615,1.767225,0.338,0.863,1.281
5/1/2019 7:00,0.907615,1.762,0.338,0.860467,1.281
5/1/2019 7:15,0.907615,1.762,0.338,0.835133,1.281
5/1/2019 7:30,0.907615,1.762,0.338,0.830067,1.276867
5/1/2019 7:45,0.907615,1.744733,0.338,0.835133,1.252067
5/1/2019 8:00,0.907615,1.734867,0.338,0.827533,1.25
5/1/2019 8:15,0.907615,1.727467,0.338,0.832389,1.25
5/1/2019 8:30,0.907615,1.727467,0.338,0.835327,1.25
5/1/2019 8:45,0.907615,1.725,0.338,0.827533,1.245867
5/1/2019 9:00,0.907615,1.725,0.340672,0.825,1.229003
5/1/2019 9:15,0.907615,1.722467,0.338,0.825,1.221067
5/1/2019 9:30,0.907615,1.719933,0.338,0.825,1.219
5/1/2019 9:45,0.907615,1.69504,0.340467,0.825,1.221067
5/1/2019 10:00,0.907615,1.584667,0.338,0.825,1.219
5/1/2019 10:15,0.907615,1.692067,0.342933,0.825,1.219
5/1/2019 10:30,0.907615,1.687,0.342933,0.825,1.219
5/1/2019 10:45,0.907615,1.687,0.338,0.822467,1.219
5/1/2019 11:00,0.907615,1.673786,0.345811,0.825,1.216867
5/1/2019 11:15,0.907615,1.680628,0.342539,0.825,1.214733
5/1/2019 11:30,0.907615,1.681517,0.342933,0.825,1.208439
5/1/2019 11:45,0.907615,1.515006,0.342933,0.825,1.210467
5/1/2019 12:00,0.907615,1.662744,0.364945,0.819933,1.219
5/1/2019 12:15,0.907615,1.654933,0.370067,0.825,1.216867
5/1/2019 12:30,0.907615,1.65,0.370067,0.825,1.219
5/1/2019 12:45,0.907615,1.652467,0.375,0.825,1.219
5/1/2019 13:00,0.907615,1.65,0.369878,0.825,1.219
5/1/2019 13:15,0.907615,1.65,0.372533,0.822467,1.219
5/1/2019 13:30,0.907615,1.654933,0.347867,0.825,1.225372
5/1/2019 13:45,0.907615,1.65,0.342933,0.825,1.25
5/1/2019 14:00,0.907615,1.652467,0.340467,0.819933,1.25
5/1/2019 14:15,0.907615,1.65,0.342933,0.825,1.266706
5/1/2019 14:30,0.907615,1.65,0.340878,0.801795,1.281
