,Arolla / Météo1 (Bricola - Rayonnement - W/m2),C: Arolla / Météo1 (Bricola - Rayonnement - W/m2) (1. Année précédente),C: Arolla / Météo1 (Bricola - Rayonnement - W/m2) (2. Année précédente),C: Arolla / Météo1 (Bricola - Rayonnement - W/m2) (3. Année précédente),C: Arolla / Météo1 (Bricola - Rayonnement - W/m2) (4. Année précédente)
Horodatage,W/m²,W/m²,W/m²,W/m²,W/m²
5/1/2019 0:15,0.698,0.698,0.698,0.698,0.698
5/1/2019 0:30,0,0.698,0.698,0.698,0.698
5/1/2019 0:45,0.698,0.698,0.698,0.698,0.698
5/1/2019 1:00,0.698,0.698,0.698,0.698,0.698
5/1/2019 1:15,0.698,0.698,0.698,0.698,0.698
5/1/2019 1:30,0.698,0.698,0.698,0.698,0.698
5/1/2019 1:45,0.698,0.698,0.698,0.698,0.698
5/1/2019 2:00,0.698,0.698,0.698,0.698,0.698
5/1/2019 2:15,0.698,0.698,0.698,0.698,0.698
5/1/2019 2:30,0.698,0.698,0.698,0.698,0.698
5/1/2019 2:45,0.698,0.698,0.698,0.698,0.698
5/1/2019 3:00,0.698,0.698,0.698,0.698,0.698
5/1/2019 3:15,0.698,0.698,0.698,0.698,0.698
5/1/2019 3:30,0.698,0.698,0.698,0.698,0.698
5/1/2019 3:45,0.698,0.698,0.698,0.698,0.698
5/1/2019 4:00,0.698,0.698,0.698,0.698,0.698
5/1/2019 4:15,0,0.698,0.698,0.698,0.698
5/1/2019 4:30,0.698,0.698,0.698,0.698,0.698
5/1/2019 4:45,0.698,0.698,0.698,0.698,0.698
5/1/2019 5:00,0,0.698,0.698,0.698,0.698
5/1/2019 5:15,0.698,0.698,0.698,0.698,0.698
5/1/2019 5:30,0.698,0.698,0.698,0.698,0.698
5/1/2019 5:45,0,0.698,0.698,0.698,0.698
5/1/2019 6:00,0.698,0.698,0.698,0.698,0.698
5/1/2019 6:15,0.698,0.698,0.698,0.698,0.698
5/1/2019 6:30,0.698,0.698,0.698,0.698,0.698
5/1/2019 6:45,0.698,0.698,0.698,0.698,0.698
5/1/2019 7:00,0.698,0.698,0.698,0.698,0.698
5/1/2019 7:15,0.698,0.698,0.698,0.698,0.698
5/1/2019 7:30,0.698,0.698,0.698,0.698,0.698
5/1/2019 7:45,0.698,0.698,0.698,0.698,13.95
5/1/2019 8:00,0.698,17.437,0.698,0.698,12.555
5/1/2019 8:15,0.698,0.698,0.698,0.698,12.555
5/1/2019 8:30,0.698,0.698,13.95,0.698,7.673
5/1/2019 8:45,445.005005,0.698,36.967999,0.698,24.413
5/1/2019 9:00,495.923004,55.102001,55.102001,0.698,76.724998
5/1/2019 9:15,557.302979,89.279999,62.775002,23.715,140.197006
5/1/2019 9:30,617.288025,115.087997,82.305,21.622,112.995003
5/1/2019 9:45,676.575012,108.809998,120.667999,25.110001,108.112
5/1/2019 10:00,721.215027,94.860001,111.599998,15.345,151.356995
