,Zmutt / Météo (Findelen_Rayonnement - W/m2),C: Zmutt / Météo (Findelen_Rayonnement - W/m2) (1. Année précédente),C: Zmutt / Météo (Findelen_Rayonnement - W/m2) (2. Année précédente),C: Zmutt / Météo (Findelen_Rayonnement - W/m2) (3. Année précédente),C: Zmutt / Météo (Findelen_Rayonnement - W/m2) (4. Année précédente)
Horodatage,W/m²,W/m²,W/m²,W/m²,W/m²
5/1/2019 0:15,0,-0.698,-0.698,1.395,0.698
5/1/2019 0:30,0,-0.698,-0.698,1.395,0
5/1/2019 0:45,0,-0.698,-0.698,1.395,0
5/1/2019 1:00,-0.698,-0.698,0.698,1.395,0
5/1/2019 1:15,-0.698,-0.698,0.698,1.395,0
5/1/2019 1:30,-0.698,-0.698,0.698,0.698,0
5/1/2019 1:45,-0.698,-0.698,0.698,0.698,0
5/1/2019 2:00,-0.698,-0.698,0.698,0.698,0
5/1/2019 2:15,-0.698,-0.698,0.698,0.698,0
5/1/2019 2:30,-0.698,0,0.698,0.698,0
5/1/2019 2:45,-0.698,0,0.698,0.698,0
5/1/2019 3:00,-2.092,0,0.698,0.698,0
5/1/2019 3:15,-2.092,0,0.698,0.698,0
5/1/2019 3:30,-2.092,0,0.698,0.698,0
5/1/2019 3:45,-2.092,0,0.698,0.698,0
5/1/2019 4:00,-2.092,0,0.698,0.698,0
5/1/2019 4:15,-2.092,0,0.698,0.698,0
5/1/2019 4:30,-2.092,0,0.698,0.698,0
5/1/2019 4:45,-2.092,0,0.698,0.698,0
5/1/2019 5:00,-2.092,0,0.698,0.698,0
5/1/2019 5:15,-2.092,0,0,0.698,0
5/1/2019 5:30,-2.092,0,0,0.698,0
5/1/2019 5:45,-2.092,0,0,0.698,0
5/1/2019 6:00,-2.092,0,0,0.698,0
5/1/2019 6:15,0.698,0,0,0.698,0
5/1/2019 6:30,0.698,0,0,0.698,0
5/1/2019 6:45,11.16,7.673,8.37,0.698,9.068
5/1/2019 7:00,11.16,7.673,43.943001,0.698,9.068
5/1/2019 7:15,22.32,20.924999,24.413,0.698,29.295
5/1/2019 7:30,33.48,41.153,36.967999,9.068,45.337002
5/1/2019 7:45,33.48,64.867996,71.843002,9.068,45.337002
5/1/2019 8:00,193.904999,85.095001,71.843002,18.135,119.970001
5/1/2019 8:15,142.289993,100.440002,63.472,18.135,119.970001
5/1/2019 8:30,308.295013,149.264999,91.373001,18.135,119.970001
5/1/2019 8:45,368.279999,171.585007,91.373001,24.413,129.735001
5/1/2019 9:00,431.054993,270.630005,118.574997,24.413,157.634995
5/1/2019 9:15,460.350006,229.477005,118.574997,31.386999,272.722992
5/1/2019 9:30,489.644989,256.679993,118.574997,41.849998,315.269989
5/1/2019 9:45,273.420013,311.78299,147.869995,41.849998,279
5/1/2019 10:00,608.91803,345.959991,199.485001,41.849998,279
5/1/2019 10:15,609.61499,376.649994,225.292007,41.849998,318.059998
5/1/2019 10:30,705.869995,406.641998,257.377014,41.849998,374.558014
5/1/2019 10:45,733.072021,511.964996,257.377014,41.849998,374.558014
5/1/2019 11:00,792.359985,720.518005,291.554993,56.498001,272.722992
5/1/2019 11:15,818.16803,590.78302,311.78299,78.120003,357.119995
5/1/2019 11:30,841.882996,523.822021,391.994995,49.522999,351.540009
5/1/2019 11:45,888.61499,700.289978,291.554993,65.565002,327.127014
5/1/2019 12:00,910.934998,892.799988,279.696991,87.885002,368.977997
5/1/2019 12:15,932.557983,894.195007,279.696991,87.885002,359.910004
5/1/2019 12:30,949.297974,608.91803,306.201996,87.885002,297.832001
5/1/2019 12:45,975.802979,"1,001.61",329.220001,87.885002,338.287994
5/1/2019 13:00,989.752991,737.955017,400.36499,122.061996,288.765015
5/1/2019 13:15,"1,005.10","1,230.39",447.795013,104.625,293.647003
5/1/2019 13:30,"1,005.10","1,141.81",465.233002,104.625,338.287994
5/1/2019 13:45,"1,010.68",624.263,485.459991,104.625,315.269989
5/1/2019 14:00,"1,010.68",605.429993,657.742004,116.483002,284.579987
5/1/2019 14:15,"1,010.68",613.10199,604.731995,89.977997,360.608002
5/1/2019 14:30,998.122009,806.309998,624.263,108.809998,450.584991
5/1/2019 14:45,984.172974,922.094971,593.572021,103.927002,366.88501
5/1/2019 15:00,962.549988,753.299988,593.572021,103.927002,475.695007
5/1/2019 15:15,942.322021,485.459991,624.263,99.742996,510.570007
5/1/2019 15:30,899.775024,414.315002,661.22998,99.742996,544.747009
5/1/2019 15:45,873.27002,433.147003,631.934998,83.699997,507.779999
5/1/2019 16:00,851.64801,343.170013,643.094971,83.699997,447.795013
5/1/2019 16:15,797.940002,343.170013,608.219971,83.699997,529.403015
5/1/2019 16:30,776.317017,370.372986,551.721985,66.263,597.059998
5/1/2019 16:45,726.794983,398.970001,502.200012,66.263,471.51001
5/1/2019 17:00,701.684998,317.363007,502.200012,60.681999,283.184998
5/1/2019 17:15,645.187012,239.242996,425.475006,49.522999,175.770004
5/1/2019 17:30,618.682983,252.494995,355.725006,49.522999,179.955002
5/1/2019 17:45,561.487,297.13501,321.548004,42.547001,161.123001
5/1/2019 18:00,530.797974,276.90799,321.548004,42.547001,117.876999
5/1/2019 18:15,471.51001,230.175003,279.696991,32.084999,93.464996
5/1/2019 18:30,412.920013,179.955002,225.990005,32.084999,93.464996
5/1/2019 18:45,381.53299,179.955002,161.123001,23.017,80.910004
5/1/2019 19:00,316.665009,140.895004,129.735001,23.017,66.263
5/1/2019 19:15,255.981995,117.18,70.447998,13.95,48.126999
5/1/2019 19:30,225.990005,95.557999,50.220001,13.95,48.126999
5/1/2019 19:45,160.425003,52.312,50.220001,5.58,32.782001
5/1/2019 20:00,38.362,27.9,50.220001,5.58,17.437
5/1/2019 20:15,18.832001,27.9,30.690001,5.58,6.277
5/1/2019 20:30,6.975,9.765,12.555,5.58,6.277
5/1/2019 20:45,6.975,9.765,1.395,0.698,6.277
5/1/2019 21:00,-0.698,0.698,1.395,0.698,0.698
5/1/2019 21:15,-0.698,0.698,1.395,0.698,0.698
5/1/2019 21:30,-0.698,0.698,1.395,0.698,0.698
5/1/2019 21:45,-0.698,0.698,1.395,0.698,0.698
5/1/2019 22:00,-0.698,0.698,-0.698,0.698,0.698
5/1/2019 22:15,-0.698,0.698,-0.698,0.698,0.698
5/1/2019 22:30,-0.698,0.698,-0.698,0.698,0.698
5/1/2019 22:45,-0.698,0.698,-0.698,0.698,0.698
5/1/2019 23:00,-0.698,0.698,-0.698,0.698,0.698
5/1/2019 23:15,-0.698,0.698,-0.698,0.698,0.698
5/1/2019 23:30,-0.698,0.698,-0.698,0.698,0.698
5/1/2019 23:45,-0.698,0.698,-0.698,0.698,0.698
5/2/2019 0:00,-0.698,0.698,-0.698,0.698,0.698
5/2/2019 0:15,-2.092,0.698,-0.698,0.698,0.698
5/2/2019 0:30,-2.092,0.698,-0.698,0.698,0.698
5/2/2019 0:45,-2.092,0.698,-0.698,0.698,0.698
5/2/2019 1:00,-2.092,0.698,-0.698,0.698,0
5/2/2019 1:15,-2.092,0.698,-0.698,0.698,0
5/2/2019 1:30,-2.092,0.698,-0.698,0.698,0
5/2/2019 1:45,-2.092,0.698,-0.698,0.698,0
5/2/2019 2:00,-2.092,0.698,-0.698,0.698,0
5/2/2019 2:15,-2.092,0.698,-0.698,0.698,0
5/2/2019 2:30,-2.092,0.698,-0.698,-0.698,0
5/2/2019 2:45,-2.092,0.698,-0.698,-0.698,0
5/2/2019 3:00,-2.092,0.698,-0.698,-0.698,0
5/2/2019 3:15,-2.092,0.698,-0.698,-0.698,0
5/2/2019 3:30,-2.092,0.698,-0.698,-0.698,0
5/2/2019 3:45,-1.395,0.698,-0.698,-0.698,0
5/2/2019 4:00,-1.395,0,-0.698,-0.698,0
5/2/2019 4:15,-1.395,0,-0.698,-0.698,0
5/2/2019 4:30,-1.395,0,-1.395,-0.698,0
5/2/2019 4:45,-1.395,0,-1.395,-0.698,0
5/2/2019 5:00,-1.395,0,-1.395,-0.698,0
5/2/2019 5:15,-1.395,0,-1.395,-0.698,0
5/2/2019 5:30,-1.395,0,-1.395,-0.698,0
5/2/2019 5:45,-1.395,0,-1.395,-0.698,0
5/2/2019 6:00,-1.395,0,-1.395,-0.698,0
