,Arolla / Météo1 (Arolla - Température - C°),C: Arolla / Météo1 (Arolla - Température - C°) (1. Année précédente),C: Arolla / Météo1 (Arolla - Température - C°) (2. Année précédente),C: Arolla / Météo1 (Arolla - Température - C°) (3. Année précédente),C: Arolla / Météo1 (Arolla - Température - C°) (4. Année précédente)
5/1/2019 0:15,-1.075,0.613,1.738,-3.212,1.962
5/1/2019 0:30,-1.191011,0.459778,1.738,-3.212,1.962
5/1/2019 0:45,-1.469,0.219,1.738,-3.212,1.962
5/1/2019 1:00,-1.469,0.219,1.717633,-3.212,1.962
5/1/2019 1:15,-1.469,0.219,1.456,-3.55,1.802861
5/1/2019 1:30,-1.5533,0.219,1.456,-3.55,1.625
5/1/2019 1:45,-1.75,0.219,1.456,-3.55,1.625
5/1/2019 2:00,-1.75,0.164,1.456,-3.55,1.625
5/1/2019 2:15,-2.30875,-0.006,1.796144,-3.55,1.625
5/1/2019 2:30,-2.425,-0.006,1.962,-3.55,1.533928
5/1/2019 2:45,-1.909167,-0.006,1.962,-3.55,1.456
5/1/2019 3:00,-2.311,-0.207378,1.962,-3.815259,0.713087
5/1/2019 3:15,-2.706,-0.4,1.962,-3.831,0.335428
5/1/2019 3:30,-2.706,-0.4,1.962,-3.831,0.05
5/1/2019 3:45,-2.706,-0.4,1.962,-3.831,0.05
5/1/2019 4:00,-2.706,-0.4,1.752567,-3.831,0.05
5/1/2019 4:15,-2.706,-0.4,1.344,-3.831,0.05
5/1/2019 4:30,-3.30975,-0.53,1.344,-3.831,0.05
5/1/2019 4:45,-3.381,-0.625,1.7065,-3.831,0.05
5/1/2019 5:00,-3.381,-0.625,1.794,-3.831,0.05
5/1/2019 5:15,-3.381,-0.625,1.156812,-3.95225,0.05
5/1/2019 5:30,-3.654611,-0.625,1.119,-4.056,0.05
5/1/2019 5:45,-3.775,-0.665,1.119,-4.056,0.154011
5/1/2019 6:00,-3.775,-0.85,1.119,-4.056,0.556
5/1/2019 6:15,-3.775,-0.85,-0.10725,-4.056,0.556
5/1/2019 6:30,-3.775,-0.85,-0.906,-4.056,0.556
5/1/2019 6:45,-3.775,-0.85,-1.31475,-4.056,0.556
5/1/2019 7:00,-3.6736,-0.85,-1.581,-4.056,0.556
5/1/2019 7:15,-3.437,-0.85,-1.8835,-4.056,0.692139
