timestep,real,predicted
0,1.47675,1.474282
1,1.474896,1.3658495
2,1.470756,1.4110932
3,1.468892,1.3610258
0,0.611611,0.5379958
1,0.614211,0.63312054
2,0.616211,0.60635734
3,0.618189,0.6340009
0,1.296933,1.3332356
1,1.296933,1.2844204
2,1.267792,1.2927095
3,1.246933,1.2685195
0,1.828467,1.7246817
1,1.828467,1.8402088
2,1.828467,1.8062056
3,1.787933,1.8416094
0,0.282,0.29873064
1,0.281733,0.28227696
2,0.28,0.2985668
3,0.278389,0.28868735
0,0.043744,0.018750118
1,0.043723,0.06465847
2,0.0428,0.049570914
3,0.042,0.06378181
0,1.749511,1.7168083
1,1.741807,1.7302366
2,1.727236,1.7337173
3,1.721991,1.7318162
0,0.488385,0.54111516
1,0.492089,0.61079633
2,0.5052,0.5895102
3,0.509092,0.6036493
0,0.234656,0.26861936
1,0.230922,0.29528743
2,0.227095,0.28444335
3,0.223789,0.2879329
0,0.027722,0.10868108
1,0.027322,0.07657936
2,0.026,0.08267891
3,0.025733,0.06910816
0,0.780725,0.8234817
1,0.809,0.9034836
2,0.902214,0.9040425
3,0.954171,0.9399006
0,0.371732,0.38979876
1,0.366628,0.42930263
2,0.361244,0.41727296
3,0.358322,0.42400664
0,0.305278,0.3400314
1,0.303089,0.32271972
2,0.300978,0.3255184
3,0.298333,0.3130189
0,1.159328,1.1430656
1,1.190752,1.046233
2,1.202179,1.0997521
3,1.201468,1.0636196
0,1.431754,0.93007416
1,1.431754,1.2422878
2,1.431754,1.1575552
3,1.431754,1.2658548
0,0.223,0.019699588
1,0.220589,0.04857723
2,0.218322,0.04087832
3,0.214306,0.050216656
0,0.768178,0.7656748
1,0.768033,0.82019633
2,0.77935,0.80439836
3,0.795033,0.819164
0,0.8739,0.73262167
1,0.8739,0.8217038
2,0.8739,0.7940423
3,0.8739,0.81429076
0,0.843854,0.8396989
1,0.87585,0.78650063
2,0.888525,0.82098186
3,0.878517,0.79689133
0,1.035961,1.109596
1,1.067422,1.0493246
2,1.124473,1.0846398
3,1.151644,1.0551274
0,0.684941,0.6091876
1,0.684941,0.66043764
2,0.684941,0.6441297
3,0.684941,0.6559714
0,0.300006,0.22393851
1,0.311994,0.28749573
2,0.320372,0.27395952
3,0.329127,0.2896721
0,2.070173,1.6446182
1,2.070173,1.8110077
2,2.018417,1.7625886
3,2.115058,1.8182166
0,0.960794,0.9997564
1,0.946978,0.9609672
2,0.939506,0.9677937
3,0.966767,0.94395053
0,0.30707,0.2854951
1,0.339437,0.29949272
2,0.321628,0.29453814
3,0.292369,0.29496908
0,0.073733,0.16274159
1,0.072867,0.079358876
2,0.072,0.10172103
3,0.072,0.06889888
0,0.637522,0.59706736
1,0.629497,0.58309776
2,0.6215,0.5843879
3,0.613294,0.57099485
0,1.361491,1.4918196
1,1.346989,1.4167649
2,1.346989,1.4349258
3,1.32347,1.4015605
0,1.659776,1.7221013
1,1.677357,1.5968436
2,1.664241,1.6303183
3,1.616813,1.5682719
0,0.1149,0.122180134
1,0.11437,0.093945116
2,0.114267,0.10911551
3,0.115585,0.09996538
0,1.134256,1.1336869
1,1.1561,1.0885674
2,1.1561,1.1236426
3,1.1561,1.1151395
0,0.898317,0.8317999
1,0.89195,0.8901089
2,0.885,0.87206215
3,0.874028,0.8862037
0,0.66567,0.7273506
1,0.665489,0.69108486
2,0.679117,0.7161765
3,0.695672,0.7003512
0,0.224133,0.24797298
1,0.221833,0.27509925
2,0.219015,0.2634325
