,Arolla / Hydrologie (Tsijiore_Nouve_-_Debit),C: Arolla / Hydrologie (Tsijiore_Nouve_-_Debit) (1. Année précédente),C: Arolla / Hydrologie (Tsijiore_Nouve_-_Debit) (2. Année précédente),C: Arolla / Hydrologie (Tsijiore_Nouve_-_Debit) (3. Année précédente),C: Arolla / Hydrologie (Tsijiore_Nouve_-_Debit) (4. Année précédente)
5/1/2019 0:15,0.039624,0.037,0.007277,0.004,0.046656
5/1/2019 0:30,0.039624,0.0362,0.007,0.004,0.046
5/1/2019 0:45,0.039624,0.036467,0.007,0.004,0.047621
5/1/2019 1:00,0.039624,0.035156,0.0066,0.004,0.047322
5/1/2019 1:15,0.039624,0.035,0.0052,0.004,0.046
5/1/2019 1:30,0.039624,0.035,0.004568,0.004,0.046
5/1/2019 1:45,0.039624,0.034733,0.0042,0.004,0.046
5/1/2019 2:00,0.039624,0.0346,0.004,0.004,0.045733
5/1/2019 2:15,0.039624,0.033823,0.0044,0.004,0.046
5/1/2019 2:30,0.039624,0.033,0.004,0.004,0.045867
5/1/2019 2:45,0.039624,0.033,0.004,0.004,0.045867
5/1/2019 3:00,0.039624,0.033,0.004,0.004,0.044133
5/1/2019 3:15,0.039624,0.033,0.004,0.004,0.044
5/1/2019 3:30,0.039624,0.033,0.004,0.004,0.044
5/1/2019 3:45,0.039624,0.032733,0.004,0.004,0.044
5/1/2019 4:00,0.039624,0.031167,0.004,0.004,0.043733
5/1/2019 4:15,0.039624,0.031,0.004,0.004,0.044
5/1/2019 4:30,0.039624,0.031,0.002667,0.002,0.043733
5/1/2019 4:45,0.039624,0.031,0.002933,0.002,0.042267
5/1/2019 5:00,0.039624,0.0306,0.002533,0.002,0.042
5/1/2019 5:15,0.039624,0.030483,0.002,0.002267,0.042
5/1/2019 5:30,0.039624,0.028,0.002,0.002,0.042
5/1/2019 5:45,0.039624,0.028,0.002,0.002,0.041185
5/1/2019 6:00,0.039624,0.028,0.002267,0.002,0.0416
5/1/2019 6:15,0.039624,0.027733,0.002,0.002,0.041632
5/1/2019 6:30,0.039624,0.027733,0.002,0.002,0.0412
5/1/2019 6:45,0.039624,0.027342,0.002133,0.002,0.040583
5/1/2019 7:00,0.039624,0.026,0.002,0.002,0.0398
5/1/2019 7:15,0.039624,0.026,0.002,0.002,0.039
5/1/2019 7:30,0.039624,0.026,0.002,0.002,0.038867
5/1/2019 7:45,0.039624,0.026,0.002133,0.002133,0.038467
5/1/2019 8:00,0.039624,0.025867,0.002,0.002,0.038467
5/1/2019 8:15,0.039624,0.025733,0.002,0.002,0.038478
5/1/2019 8:30,0.039624,0.025733,0.002,0.002,0.038211
5/1/2019 8:45,0.039624,0.024989,0.002,0.002,0.0386
5/1/2019 9:00,0.039624,0.024,0.002133,0.002,0.0382
5/1/2019 9:15,0.039624,0.024,0.002,0.002,0.038056
5/1/2019 9:30,0.039624,0.024,0.002,0.002,0.037
5/1/2019 9:45,0.039624,0.024,0.002,0.002,0.037
5/1/2019 10:00,0.039624,0.024,0.002,0.002,0.037
5/1/2019 10:15,0.039624,0.0236,0.002,0.002,0.037
5/1/2019 10:30,0.039624,0.023733,0.002,0.002,0.037
5/1/2019 10:45,0.039624,0.023467,0.002,0.002,0.037
5/1/2019 11:00,0.039624,0.023867,0.002,0.002,0.037
5/1/2019 11:15,0.039624,0.022589,0.002,0.002,0.037
5/1/2019 11:30,0.039624,0.022,0.002,0.002,0.037
5/1/2019 11:45,0.039624,0.022,0.002,0.002,0.037
5/1/2019 12:00,0.039624,0.022,0.002,0.002,0.037
5/1/2019 12:15,0.039624,0.022,0.002,0.002,0.037
5/1/2019 12:30,0.039624,0.021733,0.002,0.002,0.037
5/1/2019 12:45,0.039624,0.021342,0.002,0.002,0.037267
5/1/2019 13:00,0.039624,0.021433,0.002,0.002,0.038467
5/1/2019 13:15,0.039624,0.021467,0.001711,0.002,0.0386
5/1/2019 13:30,0.039624,0.0216,0.001867,0.002,0.038589
5/1/2019 13:45,0.039624,0.021467,0.002,0.002,0.038733
5/1/2019 14:00,0.039624,0.020933,0.001033,0.002,0.039
5/1/2019 14:15,0.039624,0.0204,0.000163,0.002,0.039
5/1/2019 14:30,0.039624,0.02,0,0.002,0.041217
5/1/2019 14:45,0.039624,0.02,0,0.002,0.041385
5/1/2019 15:00,0.039624,0.02,0,0.002,0.041585
5/1/2019 15:15,0.039624,0.02,0,0.002,0.042
5/1/2019 15:30,0.039624,0.02,0,0.002,0.043611
5/1/2019 15:45,0.039624,0.02,0,0.002,0.043733
5/1/2019 16:00,0.039624,0.02,0,0.002,0.044
5/1/2019 16:15,0.039624,0.0199,0,0.002,0.044
5/1/2019 16:30,0.039624,0.019256,0,0.002267,0.045888
5/1/2019 16:45,0.039624,0.019034,0,0.002,0.045733
5/1/2019 17:00,0.039624,0.019256,0,0.002,0.047211
5/1/2019 17:15,0.039624,0.01931,9.3E-05,0.002,0.047733
5/1/2019 17:30,0.039624,0.019033,0,0.002,0.048411
5/1/2019 17:45,0.039624,0.018178,0,0.002,0.0488
5/1/2019 18:00,0.039624,0.018,0,0.002,0.051611
5/1/2019 18:15,0.039624,0.018,0,0.002,0.052417
5/1/2019 18:30,0.039624,0.018,0,0.002,0.055
5/1/2019 18:45,0.039624,0.018,0,0.002133,0.055944
5/1/2019 19:00,0.039624,0.016683,0,0.002,0.057
5/1/2019 19:15,0.039624,0.0167,0,0.002,0.058067
